n_estimators,accuracy,f1_score,recall,roc_auc,,,accuracy,f1_score,recall,roc_auc
354,0.983492615,0.912844037,0.865217391,0.988991942,,,,,,
355,0.983492615,0.912844037,0.865217391,0.98903391,,,,,,
356,0.983492615,0.912844037,0.865217391,0.9890465,,,,,,
357,0.983492615,0.912844037,0.865217391,0.989015024,,,,,,
358,0.983492615,0.912844037,0.865217391,0.988996139,,,,,,
359,0.983492615,0.912844037,0.865217391,0.989126238,,,,,,
360,0.98392702,0.915331808,0.869565217,0.989117845,,,,,,
361,0.983492615,0.912844037,0.865217391,0.989117845,,,,,,
362,0.983492615,0.912844037,0.865217391,0.989107353,,,,,,
363,0.983492615,0.912844037,0.865217391,0.989115746,,,,,,
364,0.983492615,0.912844037,0.865217391,0.989105254,,,,,,
365,0.983492615,0.912844037,0.865217391,0.989115746,,,,,,
366,0.983492615,0.912844037,0.865217391,0.989128336,,,,,,
367,0.983492615,0.912844037,0.865217391,0.98912414,,,,,,
368,0.983492615,0.912844037,0.865217391,0.989117845,,,,,,
369,0.983492615,0.912844037,0.865217391,0.989111549,,,,,,
370,0.983492615,0.912844037,0.865217391,0.989103156,,,,,,
371,0.98392702,0.915331808,0.869565217,0.989153517,,,,,,
372,0.983492615,0.912844037,0.865217391,0.989172402,,,,,,
373,0.98392702,0.915331808,0.869565217,0.98914932,,,,,,
374,0.983492615,0.912844037,0.865217391,0.989157714,,,,,,
375,0.98392702,0.915331808,0.869565217,0.989147222,,,,,,
376,0.98392702,0.915331808,0.869565217,0.989180796,,,,,,
377,0.98392702,0.915331808,0.869565217,0.98916191,,,,,,
378,0.983492615,0.912844037,0.865217391,0.989187091,,,,,,
379,0.98392702,0.915331808,0.869565217,0.98916191,,,,,,
380,0.98392702,0.915331808,0.869565217,0.98913673,,,,,,
381,0.98392702,0.915331808,0.869565217,0.989109451,,,,,,
382,0.98392702,0.915331808,0.869565217,0.989378043,,,,,,
383,0.983492615,0.912844037,0.865217391,0.989392731,,,,,,
384,0.98392702,0.915331808,0.869565217,0.989401125,,,,,,
385,0.98392702,0.915331808,0.869565217,0.989357059,,,,,,
386,0.98392702,0.915331808,0.869565217,0.989346567,,,,,,
387,0.98392702,0.915331808,0.869565217,0.989375944,,,,,,
388,0.98392702,0.915331808,0.869565217,0.989390633,,,,,,
389,0.98392702,0.915331808,0.869565217,0.989388534,,,,,,
390,0.984361425,0.917808219,0.873913043,0.98942001,,,,,,
391,0.98392702,0.915331808,0.869565217,0.989396928,,,,,,
392,0.984361425,0.917808219,0.873913043,0.989409518,,,,,,
393,0.984361425,0.917808219,0.873913043,0.989380141,,,,,,
394,0.984361425,0.917808219,0.873913043,0.989363354,,,,,,
395,0.984361425,0.917808219,0.873913043,0.989369649,,,,,,
396,0.984361425,0.917808219,0.873913043,0.989344469,,,,,,
397,0.984361425,0.917808219,0.873913043,0.989354961,,,,,,
398,0.984361425,0.917808219,0.873913043,0.989350764,,,,,,
399,0.984361425,0.917808219,0.873913043,0.989336075,,,,,,
400,0.984361425,0.917808219,0.873913043,0.989296206,,,,,,
