n_estimators,learning_rate,max_depth,num_leaves,val_auc
300,0.0013,12,80,0.9832469479545941
325,0.0013,8,31,0.9871257228528593
325,0.0013,8,50,0.9869972156778754
325,0.0013,8,80,0.9869972156778754
325,0.0013,10,31,0.9872906403940885
325,0.0013,10,50,0.9864767616191904
325,0.0013,10,80,0.9865024630541872
325,0.0013,12,31,0.9850696080531163
325,0.0013,12,50,0.98343970871707
325,0.0013,12,80,0.9834868280145642
350,0.0013,8,31,0.9868815592203897
350,0.0013,8,50,0.9866716641679161
350,0.0013,8,80,0.9866716641679161
350,0.0013,10,31,0.9872520882415935
350,0.0013,10,50,0.9865581494966802
350,0.0013,10,80,0.9865881345041765
350,0.0013,12,31,0.9850610409081174
350,0.0013,12,50,0.9837138573570358
350,0.0013,12,80,0.9837309916470337
375,0.0013,8,31,0.9873077746840866
375,0.0013,8,50,0.9871621332191046
375,0.0013,8,80,0.9871621332191046
375,0.0013,10,31,0.987239237524095
375,0.0013,10,50,0.9865881345041764
375,0.0013,10,80,0.9866224030841722
375,0.0013,12,31,0.9850224887556221
375,0.0013,12,50,0.9838380809595203
375,0.0013,12,80,0.9838466481045192
400,0.0013,8,31,0.9876076247590492
400,0.0013,8,50,0.9875605054615549
400,0.0013,8,80,0.9875605054615549
400,0.0013,10,31,0.9872478046690941
400,0.0013,10,50,0.9867166416791604
400,0.0013,10,80,0.9867123581066609
400,0.0013,12,31,0.9850995930606125
400,0.0013,12,50,0.9840651103019918
400,0.0013,12,80,0.9841036624544871
25,0.0016,8,31,0.987215677875348
25,0.0016,8,50,0.9873613193403298
25,0.0016,8,80,0.9873613193403298
25,0.0016,10,31,0.9869094024416364
25,0.0016,10,50,0.9861811951167274
25,0.0016,10,80,0.9862026129792247
25,0.0016,12,31,0.983103448275862
25,0.0016,12,50,0.9819426001285072
25,0.0016,12,80,0.9821781966159777
50,0.0016,8,31,0.987935318055258
50,0.0016,8,50,0.9880167059327479
50,0.0016,8,80,0.9880167059327479
50,0.0016,10,31,0.9870978796316128
50,0.0016,10,50,0.9862732919254658
